62 207.572 342.494 584.662 989.428 1560.25 171.341 336.635 623.637 1047.85 1515.13
63 207.572 349.413 588.121 1013.64 1560.25 173.909 341.433 631.627 1058.47 1524.04
64 207.572 352.873 595.04 1020.56 1563.71 176.471 346.213 639.559 1068.95 1532.68
65 211.032 363.251 601.959 1034.4 1563.71 179.028 350.975 647.435 1079.28 1541.08
66 211.032 370.17 601.959 1044.78 1577.55 181.578 355.718 655.253 1089.46 1549.23
67 214.491 373.63 612.338 1058.62 1587.93 184.123 360.442 663.014 1099.49 1557.14
68 214.491 377.09 615.798 1065.54 1594.85 186.661 365.148 670.72 1109.38 1564.82
69 217.951 377.09 626.176 1072.46 1608.68 189.194 369.835 678.369 1119.13 1572.28
70 217.951 377.09 626.176 1089.75 1629.44 191.72 374.504 685.963 1128.74 1579.51
71 217.951 380.549 633.095 1086.29 1632.9 194.241 379.155 693.501 1138.21 1586.54
72 217.951 384.009 633.095 1100.13 1657.12 196.756 383.788 700.985 1147.54 1593.36
73 217.951 390.928 636.555 1110.51 1660.58 199.266 388.402 708.414 1156.74 1599.97
74 217.951 390.928 640.014 1120.89 1664.04 201.769 392.999 715.789 1165.8 1606.39
75 224.87 401.306 653.853 1117.43 1664.04 204.267 397.577 723.111 1174.74 1612.63
76 224.87 408.225 667.691 1117.43 1670.96 206.758 402.137 730.378 1183.54 1618.68
77 228.329 408.225 684.988 1124.35 1674.42 209.244 406.68 737.593 1192.22 1624.54
78 228.329 408.225 688.448 1124.35 1681.34 211.725 411.205 744.755 1200.77 1630.24
79 224.87 408.225 698.827 1134.73 1681.34 214.199 415.711 751.864 1209.2 1635.77
80 224.87 411.685 702.286 1152.03 1677.88 216.668 420.201 758.921 1217.51 1641.13
81 228.329 415.144 716.124 1158.94 1688.25 219.131 424.672 765.926 1225.69 1646.34
82 228.329 422.064 726.503 1172.78 1688.25 221.588 429.126 772.88 1233.75 1651.39
83 231.789 425.523 729.962 1183.16 1681.34 224.039 433.562 779.782 1241.7 1656.29
84 238.708 432.442 740.341 1197 1681.34 226.485 437.981 786.634 1249.53 1661.04
85 238.708 439.361 747.26 1210.84 1691.71 228.925 442.382 793.435 1257.25 1665.66
86 242.168 439.361 747.26 1214.3 1691.71 231.359 446.766 800.186 1264.85 1670.13
87 256.006 460.118 768.017 1217.76 1695.17 233.788 451.133 806.887 1272.34 1674.48
88 256.006 463.578 778.396 1235.05 1695.17 236.211 455.482 813.539 1279.72 1678.69
89 256.006 463.578 778.396 1252.35 1698.63 238.628 459.815 820.141 1286.99 1682.78
90 256.006 477.416 785.315 1259.27 1698.63 241.04 464.13 826.695 1294.16 1686.74
91 259.465 480.876 799.153 1276.57 1691.71 243.446 468.428 833.2 1301.22 1690.59
92 262.925 491.254 806.072 1286.95 1691.71 245.846 472.709 839.656 1308.18 1694.32
93 262.925 494.714 809.532 1300.79 1695.17 248.241 476.973 846.065 1315.03 1697.95
94 266.384 494.714 819.91 1304.25 1691.71 250.63 481.22 852.426 1321.78 1701.46
95 266.384 494.714 823.37 1304.25 1691.71 253.014 485.45 858.74 1328.43 1704.87
96 269.844 501.633 826.829 1307.71 1702.09 255.392 489.663 865.007 1334.99 1708.17
97 269.844 512.012 830.289 1314.62 1709.01 257.765 493.86 871.227 1341.45 1711.38
98 273.303 515.471 833.748 1321.54 1715.93 260.131 498.04 877.4 1347.81 1714.49
99 287.142 515.471 844.127 1328.46 1712.47 262.493 502.204 883.528 1354.07 1717.51
100 290.601 525.85 851.046 1328.46 1715.93 264.849 506.35 889.61 1360.25 1720.44
101 290.601 529.309 868.344 1342.3 1712.47 267.199 510.481 895.646 1366.33 1723.28
102 290.601 532.769 878.722 1338.84 1719.39 269.544 514.595 901.637 1372.32 1726.03
